"(7.1, 7.3)","[ -7.71057178  -8.29241304  -8.27258389  -8.27884918 -24.
 -24.00002685]"
"(7.2, 7.3)","[ -7.67826566  -8.22685308  -8.23082297  -8.25180542 -24.00000083
 -24.00002675]"
"(7.3, 7.3)","[ -7.64238263  -8.20849992  -8.17553999  -8.21295921 -24.00000083
 -24.00002675]"
"(7.4, 7.3)","[ -7.60243018  -8.18509782  -8.1712719   -8.1886121  -24.00000083
 -24.00002675]"
"(7.5, 7.3)","[ -7.55801175  -8.1112973   -8.11294305  -8.11060052 -24.00000083
 -24.00002675]"
"(7.6, 7.3)","[ -7.50866483  -8.04135276  -8.02617226  -8.03961168 -24.00000083
 -24.00002675]"
"(7.7, 7.3)","[ -7.45384146  -7.95426753  -7.98697703  -7.99832954 -24.00000083
 -24.00002675]"
"(7.8, 7.3)","[ -7.39291117  -7.95817701  -7.91738527  -7.90143047 -24.00000083
 -24.00002675]"
"(7.9, 7.3)","[ -7.32517127  -7.81779068  -7.85227768  -7.84805616 -24.00000083
 -24.00002675]"
"(8.0, 7.3)","[ -7.24987506  -7.78592821  -7.75786677  -7.77124613 -24.00000083
 -24.00002675]"
"(8.1, 7.3)","[ -7.16624378  -7.6848373   -7.63497909  -7.65032715 -24.00000083
 -24.00002675]"
"(8.2, 7.3)","[ -7.07342645  -7.55457731  -7.48895265  -7.51782186 -24.00000083
 -24.00002675]"
"(8.3, 7.3)","[ -6.97041427  -7.39621225  -7.37914523  -7.38157387 -24.00000083
 -24.00002675]"
"(8.4, 7.3)","[ -6.85598304  -7.3112853   -7.28530308  -7.29892866 -24.00000083
 -24.00002675]"
"(8.5, 7.3)","[ -6.72872412  -7.10703172  -7.1118232   -7.07588254 -24.00000083
 -24.00002675]"
"(8.6, 7.3)","[ -6.58711673  -6.97902448  -6.90865378  -6.95842105 -24.00000083
 -24.00002675]"
"(8.7, 7.3)","[ -6.42965473  -6.74832393  -6.74986371  -6.80540947 -24.00000083
 -24.00002675]"
"(8.8, 7.3)","[ -6.25499677  -6.66954712  -6.59103545  -6.62460417 -24.00000083
 -24.00002675]"
"(8.9, 7.3)","[ -6.06124507  -6.39377263  -6.3454883   -6.38947149 -24.00000083
 -24.00002675]"
"(9.0, 7.3)","[ -5.84611596  -6.21524105  -6.10404773  -6.16434029 -43.50294092
 -24.00002675]"
"(9.1, 7.3)","[ -5.60739012  -5.90405389  -5.8629038   -5.85099159 -24.00000088
 -24.0000268 ]"
"(9.2, 7.3)","[ -5.34262671  -5.64919233  -5.59000315  -5.60958447 -24.00000083
 -24.00002675]"
"(9.3, 7.3)","[ -5.04939234  -5.38294017  -5.23648935  -5.25745915 -24.00000083
 -24.00002675]"
"(9.4, 7.3)","[ -4.72364088  -5.06331105  -4.89985087  -5.06604181 -24.00000083
 -24.00002675]"
"(9.5, 7.3)","[ -4.36109951  -4.56988448  -4.48722991  -4.62401313 -24.00000083
  -4.50339356]"
